Year,Month,Day,pmeZip,pmeLatitude,pmeLongitude,Zipcode_4digits
2017,1,3,2512VA,52.0737920,4.2998700,2512
2017,1,3,2544NL,52.0386236,4.2404603,2544
2017,1,3,2544KM,52.0434402,4.2538035,2544
2017,1,3,2531PG,52.0491523,4.3024144,2531
2017,1,3,2544KM,52.0434402,4.2538035,2544
2017,1,3,2512VA,52.0740415,4.2992255,2512
2017,1,3,2597AX,52.1024090,4.3162300,2597
2017,1,3,2562VP,52.0769557,4.2851097,2562
2017,1,3,2515XJ,52.0769230,4.3265992,2515
2017,1,3,2562VG,52.0765768,4.2839958,2562
2017,1,3,2584BZ,52.1067670,4.2712657,2584
2017,1,3,\N,52.0698576,4.2911114,\N
2017,1,3,\N,52.0698576,4.2911114,\N
2017,1,3,2515TG,52.0752176,4.3252395,2515
2017,1,3,2563TE,52.0718347,4.2701096,2563
2017,1,3,2584BZ,52.1067670,4.2712657,2584
2017,1,3,2548RR,52.0251509,4.2896629,2548
2017,1,3,\N,52.0698576,4.2911114,\N
2017,1,3,2597KP,52.1055041,4.3222863,2597
2017,1,3,2521ZC,52.0635299,4.3216227,2521
2017,1,3,2545JA,52.0525490,4.2781727,2545
2017,1,3,2544RP,52.0391423,4.2513061,2544
2017,1,3,2574PB,52.0661896,4.2738968,2574
2017,1,3,2585TS,52.0908039,4.3031406,2585
2017,1,3,2585BL,52.0890399,4.2980324,2585
2017,1,3,2597AX,52.1024090,4.3162300,2597
2017,1,3,2552KS,52.0609275,4.2481282,2552
2017,1,3,2552SC,52.0548516,4.2519135,2552
2017,1,3,2541RG,52.0452214,4.2837334,2541
2017,1,3,2593PG,52.0852212,4.3469462,2593
2017,1,3,\N,52.0698576,4.2911114,\N
2017,1,3,\N,52.0698576,4.2911114,\N
2017,1,3,2525VW,52.0628962,4.3082939,2525
2017,1,3,2551JN,52.0554771,4.2413117,2551
2017,1,3,\N,52.0698576,4.2911114,\N
2017,1,3,2533JE,52.0492762,4.2915208,2533
2017,1,3,2595AK,52.0799962,4.3340430,2595
2017,1,3,2512VA,52.0737920,4.2998700,2512
2017,1,3,2566MJ,52.0807468,4.2620525,2566
2017,1,3,\N,52.0698576,4.2911114,\N
2017,1,3,2593WB,52.0865203,4.3464637,2593
2017,1,3,2512VH,52.0732039,4.3016244,2512
2017,1,3,2522ES,52.0601029,4.3303518,2522
2017,1,3,2493WZ,52.0571180,4.3999568,2493
2017,1,3,2521CA,52.0661711,4.3164655,2521
2017,1,3,2542JA,52.0429026,4.2520286,2542
2017,1,3,2553TD,52.0537040,4.2316553,2553
2017,1,3,2541PW,52.0440737,4.2802048,2541
2017,1,3,2553AA,52.0586851,4.2256118,2553
